GEOID,place_name,state_abbr,state_name,pop_2020,pop_2021,pop_2022,pop_2023,lat,lon,land_area_sqmi,place_type,funcstat
0672016,Simi Valley city,CA,California,126343,125807,124849,125113,34.266887,-118.748458,41.542,25,A
2915670,Columbia city,MO,Missouri,126307,127394,128392,129330,38.94729,-92.326387,67.31,25,A
4856348,Pearland city,TX,Texas,125996,126020,127061,127736,29.555732,-95.323012,48.724,25,A
3825700,Fargo city,ND,North Dakota,125986,129575,131444,133188,46.8647,-96.82908,50.834,25,A
0681666,Vallejo city,CA,California,125894,124777,123686,122807,38.106909,-122.262339,30.435,25,A
4202000,Allentown city,PA,Pennsylvania,125727,125812,125088,124880,40.593648,-75.478393,17.564,25,A
4801000,Abilene city,TX,Texas,125417,126148,127445,129043,32.454514,-99.738147,106.669,25,A
0616000,Concord city,CA,California,125286,124452,123112,122315,37.972184,-122.001587,30.568,25,A
0803455,Arvada city,CO,Colorado,124343,123484,121430,121414,39.833728,-105.150306,38.974,25,A
0606000,Berkeley city,CA,California,124205,114647,118715,118962,37.865673,-122.298725,10.432,25,A
2603000,Ann Arbor city,MI,Michigan,123611,119060,119924,119381,42.276147,-83.73086,28.33,25,A
2935000,Independence city,MO,Missouri,122899,122185,121079,120922,39.085469,-94.352082,77.989,25,A
2754880,Rochester city,MN,Minnesota,121575,121839,121896,122413,44.014299,-92.478592,56.486,25,A
4815976,College Station city,TX,Texas,120771,122668,124280,125192,30.58516,-96.29636,51.16,25,A
0614218,Clovis city,CA,California,120770,123337,124873,125826,36.828967,-119.684922,25.852,25,A
4863500,Round Rock city,TX,Texas,120549,124106,126927,130406,30.526767,-97.660079,37.918,25,A
1254000,Palm Bay city,FL,Florida,120163,122975,129173,135566,27.96489,-80.658275,86.679,25,A
0623182,Fairfield city,CA,California,119833,119957,119957,120768,38.26206,-122.032386,41.586,25,A
0937000,Hartford city,CT,Connecticut,119798,120034,119851,119669,41.765933,-72.681579,17.379,25,A
1652120,Meridian city,ID,Idaho,119443,125817,129707,134801,43.61149,-116.400662,36.859,25,A
4861796,Richardson city,TX,Texas,119299,118114,118698,117435,32.972291,-96.708069,28.562,25,A
2511000,Cambridge city,MA,Massachusetts,118218,117275,117420,118214,42.376043,-71.11868,6.397,25,A
1276600,West Palm Beach city,FL,Florida,117507,117915,121200,124130,26.745114,-80.127038,53.872,25,A
1822000,Evansville city,IN,Indiana,117373,116614,115644,115332,37.987737,-87.534705,47.355,25,A
1212875,Clearwater city,FL,Florida,117333,117137,117005,116850,27.979419,-82.771256,26.175,25,A
3006550,Billings city,MT,Montana,117224,117737,119976,120864,45.788538,-108.552475,45.572,25,A
4982950,West Jordan city,UT,Utah,117032,116531,116597,114908,40.602666,-112.001255,32.586,25,A
0883835,Westminster city,CO,Colorado,116594,115057,114771,114875,39.880122,-105.061513,31.618,25,A
0660620,Richmond city,CA,California,116196,115785,114944,114106,37.952278,-122.360609,30.042,25,A
3774440,Wilmington city,NC,North Carolina,115770,117837,121120,122698,34.209225,-77.885767,51.414,25,A
4550875,North Charleston city,SC,South Carolina,115551,117573,118598,121469,32.917881,-80.065,77.632,25,A
3345140,Manchester city,NH,New Hampshire,115508,115122,115767,115474,42.984941,-71.444131,33.069,25,A
2537000,Lowell city,MA,Massachusetts,115462,114613,114191,114296,42.638995,-71.32102,13.61,25,A
0602252,Antioch city,CA,California,115379,115494,115780,117096,37.978336,-121.796064,29.171,25,A
4962470,Provo city,UT,Utah,115103,114945,113689,113343,40.245312,-111.645057,41.702,25,A
4853388,Odessa city,TX,Texas,114926,112184,113029,115743,31.880461,-102.345314,51.889,25,A
0611194,Carlsbad city,CA,California,114924,114964,114275,113495,33.129284,-117.284183,37.812,25,A
4807000,Beaumont city,TX,Texas,114857,113607,112280,112193,30.084912,-94.14533,82.139,25,A
3731400,High Point city,NC,North Carolina,114846,115140,115557,116926,35.990803,-79.992713,57.327,25,A
4841980,League City city,TX,Texas,114657,115661,115479,116320,29.490064,-95.109093,51.362,25,A
1723074,Elgin city,IL,Illinois,114617,114036,113131,113310,42.038963,-88.325671,38.143,25,A
4131250,Gresham city,OR,Oregon,114470,113108,111544,110685,45.502319,-122.441609,23.519,25,A
1772000,Springfield city,IL,Illinois,114298,113733,113071,112544,39.791063,-89.644572,61.261,25,A
0619766,Downey city,CA,California,113964,111634,109932,108816,33.938237,-118.130856,12.409,25,A
4009050,Broken Arrow city,OK,Oklahoma,113928,116370,117867,119194,36.036529,-95.780996,62.961,25,A
1238250,Lakeland city,FL,Florida,113888,117305,120274,122264,28.055496,-81.954772,66.561,25,A
0980000,Waterbury city,CT,Connecticut,113880,114563,114588,114990,41.5585,-73.036685,28.557,25,A
1759000,Peoria city,IL,Illinois,112845,111787,110777,110460,40.751641,-89.617198,48.125,25,A
2646000,Lansing city,MI,Michigan,112566,112464,112273,112115,42.714341,-84.560889,39.185,25,A
1258050,Pompano Beach city,FL,Florida,111957,111504,112274,113619,26.241622,-80.133851,24.066,25,A
0862000,Pueblo city,CO,Colorado,111899,111976,111418,111077,38.269228,-104.610816,56.489,25,A
0616532,Costa Mesa city,CA,California,111781,110789,109548,108354,33.665905,-117.912336,15.806,25,A
3539380,Las Cruces city,NM,New Mexico,111698,112879,113972,114892,32.326444,-106.789695,76.933,25,A
1245060,Miami Gardens city,FL,Florida,111477,111607,110586,110717,25.948892,-80.243585,18.476,25,A
0650076,Murrieta city,CA,California,111146,112278,112076,111878,33.572134,-117.190444,33.536,25,A
5322640,Everett city,WA,Washington,110893,111105,111584,111180,47.965413,-122.189895,33.601,25,A
